Asset Name,Asset Id,Data Date (UTC), Latitude, Longitude, Speed, Heading, Report Body
iES 6620,300434064056620,2023-06-22 09:09:45, 71.059517, -165.008297, 0.00, 0.0000000, 0A-23-E8-97-EC-26-C7-66
iES 6620,300434064056620,2023-06-22 09:07:45, 71.055901, -165.003834, 0.00, 0.0000000, 9E-BD-5A-40-C7-FC-FC-FB
iES 6620,300434064056620,2023-06-22 09:07:45, 71.063165, -165.013726, 0.00, 0.0000000, FC-26-D3-3A-A5-0E-4E-7B
iES 6620,300434064056620,2023-06-22 08:37:45, 71.052178, -165.067542, 8.00, 45.0000000, 01-7B-7F-3F-D4-1C-5E-DD-72-00
iES 6620,300434064056620,2023-06-22 08:07:43, 71.011956, -165.163994, 4.00, 315.0000000, 01-7B-90-6B-88-C3-B1-29-C4-67
iES 6620,300434064056620,2023-06-22 07:38:02, 70.971680, -165.174401, 4.00, 45.0000000, 01-7B-B1-15-70-51-7F-3F-3A-A3
iES 6620,300434064056620,2023-06-22 06:07:41, 70.933882, -165.166011, 0.00, 0.0000000, 40-1E-35-63-EA-92-8F-96
iES 6620,300434064056620,2023-06-22 06:07:41, 70.923582, -165.146935, 0.00, 0.0000000, 90-84-18-C9-2F-04-A3-A3
iES 6620,300434064056620,2023-06-22 05:37:41, 70.894754, -165.179701, 4.00, 45.0000000, 01-7B-05-C3-30-2C-CD-B3-5F-29
iES 6620,300434064056620,2023-06-22 05:07:33, 70.860100, -165.262570, 8.00, 45.0000000, 01-7B-A5-8A-8D-79-DB-73-6F-C0
iES 6620,300434064056620,2023-06-22 04:38:06, 70.827913, -165.397668, 4.00, 0.0000000, 01-7B-9C-EA-13-A8-C3-45-B6-BE
iES 6620,300434064056620,2023-06-22 04:07:13, 70.822130, -165.415134, 0.00, 0.0000000, 01-7B-92-57-56-14-37-E6-B1-AE
iES 6620,300434064056620,2023-06-22 02:07:43, 70.743671, -165.564866, 0.00, 0.0000000, 99-AE-3F-BB-D8-3D-8E-66
iES 6620,300434064056620,2023-06-22 02:07:43, 70.722621, -165.516930, 0.00, 0.0000000, 3E-09-43-59-04-3B-DD-10
iES 6620,300434064056620,2023-06-22 01:37:43, 70.699081, -165.536585, 0.00, 0.0000000, 01-7B-EB-0B-96-08-E8-E9-12-AD
iES 6620,300434064056620,2023-06-22 01:07:12, 70.701281, -165.531671, 0.00, 0.0000000, 01-7B-6A-23-7C-73-8A-F7-20-5D
iES 6620,300434064056620,2023-06-22 00:36:46, 70.704156, -165.537636, 0.00, 0.0000000, 01-7B-FD-4F-B1-AD-D7-EC-8B-22
